category,window,episode,entity,team,role,scenario,scenario_variant,possession_pct,dribbles,tackles,blocks,passes,passes_completed,pass_accuracy,shots_on,shots_off,goals,clears,saves,goals_for,goals_against,reward_episode
team,,1900,A,A,,default,0,0.0,,,,0,0,0.0,,,0,,,0,1,-108.80126126866179
team,,1900,B,B,,default,0,93.37349397590361,,,,2,0,0.0,,,1,,,1,0,113.58974165913492
player,,1900,p0,A,Goalkeeper,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-15.937287136809605
player,,1900,p1,A,Left Fullback,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-16.839524347491796
player,,1900,p2,A,Center Back,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-16.94680841483609
player,,1900,p3,A,Center Back,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-16.88408726460542
player,,1900,p4,A,Right Fullback,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-16.791644588151197
player,,1900,p5,A,Left Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-3.7789983990270812
player,,1900,p6,A,Central Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-4.069213154555504
player,,1900,p7,A,Central Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-4.128222539205923
player,,1900,p8,A,Right Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-3.7477249580108674
player,,1900,p9,A,Striker,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-4.800492173967843
player,,1900,p10,A,Striker,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-4.877258292000474
player,,1900,p11,B,Goalkeeper,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,8.419705294920742
player,,1900,p12,B,Right Fullback,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,8.747072807210493
player,,1900,p13,B,Center Back,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,9.030268884675912
player,,1900,p14,B,Center Back,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,9.154680073771203
player,,1900,p15,B,Left Fullback,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,9.256835344520173
player,,1900,p16,B,Central Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,9.580319999550166
player,,1900,p17,B,Central Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,9.591813419406561
player,,1900,p18,B,Central Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,9.447293652479422
player,,1900,p19,B,Right Winger,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,11.4193982406897
player,,1900,p20,B,Striker,default,0,,1,0,0,2,0,0.0,1,0,1,0,0,,,17.09216333668427
player,,1900,p21,B,Left Winger,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,11.850190605226206
window100,1801-1900,1900,B,B,,,,46.86513647955934,,,,410,131,31.951219512195124,,,35,,,35,9,
window100,1801-1900,1900,A,A,,,,35.97707244400652,,,,230,67,29.130434782608695,,,9,,,9,35,
window100,1801-1900,1900,p0,A,Goalkeeper,,,,26,14,0,46,0,0.0,27,25,6,0,35,,,
window100,1801-1900,1900,p1,A,Left Fullback,,,,8,1,0,1,0,0.0,2,1,0,2,0,,,
window100,1801-1900,1900,p2,A,Center Back,,,,17,5,18,10,0,0.0,8,1,0,8,0,,,
window100,1801-1900,1900,p3,A,Center Back,,,,19,3,5,43,16,37.2093023255814,22,13,0,12,0,,,
window100,1801-1900,1900,p4,A,Right Fullback,,,,17,4,1,26,12,46.15384615384615,12,1,0,36,0,,,
window100,1801-1900,1900,p5,A,Left Midfielder,,,,8,1,4,8,6,75.0,2,0,2,1,0,,,
window100,1801-1900,1900,p6,A,Central Midfielder,,,,18,7,4,18,2,11.11111111111111,17,8,4,0,0,,,
window100,1801-1900,1900,p7,A,Central Midfielder,,,,16,8,2,43,21,48.837209302325576,4,0,1,1,0,,,
window100,1801-1900,1900,p8,A,Right Midfielder,,,,5,2,0,3,1,33.33333333333333,3,5,0,0,0,,,
window100,1801-1900,1900,p9,A,Striker,,,,21,8,0,22,4,18.181818181818183,19,0,3,1,0,,,
window100,1801-1900,1900,p10,A,Striker,,,,10,10,1,10,5,50.0,7,0,0,0,0,,,
window100,1801-1900,1900,p11,B,Goalkeeper,,,,8,4,0,3,0,0.0,0,6,0,1,3,,,
window100,1801-1900,1900,p12,B,Right Fullback,,,,3,1,0,0,0,0.0,2,0,0,1,0,,,
window100,1801-1900,1900,p13,B,Center Back,,,,21,5,3,43,7,16.27906976744186,14,6,2,0,0,,,
window100,1801-1900,1900,p14,B,Center Back,,,,18,4,0,29,22,75.86206896551724,6,2,0,41,0,,,
window100,1801-1900,1900,p15,B,Left Fullback,,,,13,3,0,66,0,0.0,10,18,1,0,0,,,
window100,1801-1900,1900,p16,B,Central Midfielder,,,,9,1,1,24,10,41.66666666666667,56,6,0,58,0,,,
window100,1801-1900,1900,p17,B,Central Midfielder,,,,18,5,3,36,5,13.88888888888889,6,0,0,10,0,,,
window100,1801-1900,1900,p18,B,Central Midfielder,,,,15,7,1,57,39,68.42105263157895,33,0,0,4,0,,,
window100,1801-1900,1900,p19,B,Right Winger,,,,6,3,0,1,0,0.0,1,0,1,0,0,,,
window100,1801-1900,1900,p20,B,Striker,,,,147,11,6,145,47,32.41379310344827,108,8,23,7,0,,,
window100,1801-1900,1900,p21,B,Left Winger,,,,17,5,0,6,1,16.666666666666664,8,1,1,0,0,,,
