category,window,episode,entity,team,role,scenario,scenario_variant,possession_pct,dribbles,tackles,blocks,passes,passes_completed,pass_accuracy,shots_on,shots_off,goals,clears,saves,goals_for,goals_against,reward_episode
team,,2121,A,A,,default,0,39.3999999999991,,,,0,0,0.0,,,0,,,0,0,123.5360251014218
team,,2121,B,B,,default,0,7.699999999999847,,,,0,0,0.0,,,0,,,0,0,12.898603025327189
player,,2121,p0,A,Goalkeeper,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,7.386570973421658
player,,2121,p1,A,Left Fullback,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,8.335690279598586
player,,2121,p2,A,Center Back,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,8.147379405365118
player,,2121,p3,A,Center Back,default,0,,2,0,0,0,0,0.0,0,0,0,5,0,,,16.416135855048186
player,,2121,p4,A,Right Fullback,default,0,,1,0,0,0,0,0.0,1,0,0,0,0,,,11.35090289170827
player,,2121,p5,A,Left Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,10.227040035526775
player,,2121,p6,A,Central Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,10.130793280224873
player,,2121,p7,A,Central Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,10.296349859911098
player,,2121,p8,A,Right Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,10.123441289072506
player,,2121,p9,A,Striker,default,0,,2,0,0,0,0,0.0,2,0,0,0,0,,,17.157028452423134
player,,2121,p10,A,Striker,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,13.964692779122506
player,,2121,p11,B,Goalkeeper,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,-0.057520970595631785
player,,2121,p12,B,Right Fullback,default,0,,1,0,1,0,0,0.0,0,0,0,0,0,,,0.06616045582232678
player,,2121,p13,B,Center Back,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,0.6567422321852422
player,,2121,p14,B,Center Back,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,0.6212986806049081
player,,2121,p15,B,Left Fullback,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,0.7451963600449617
player,,2121,p16,B,Central Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,1.033666472580194
player,,2121,p17,B,Central Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,0.5354912011110471
player,,2121,p18,B,Central Midfielder,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,1.2707567432695148
player,,2121,p19,B,Right Winger,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,1.5895256679487628
player,,2121,p20,B,Striker,default,0,,1,0,0,0,0,0.0,0,0,0,0,0,,,4.97553506986281
player,,2121,p21,B,Left Winger,default,0,,0,0,0,0,0,0.0,0,0,0,0,0,,,1.461751112493112
